MeshName,EnergyPrimalIntegrability_F1,CalculatedValue_F1,EnergyPrimalIntegrability_F2,CalculatedValue_F2
pentagonal-prism,1.5496951182790879e-06,3.4595668508192944e-06,5.290666820237663e-06,0.001410541390057963
decagonal-prism,3.131971591314775e-06,7.722402666111365e-06,1.2833427237868126e-05,0.0008959538320320006
decagonal-antiprism,3.521158837320687e-06,7.1996848734175436e-06,8.608242415574743e-06,0.0010218639209359183
octagonal-antiprism,3.651851394879275e-06,8.963567030999842e-06,1.7249812859246442e-05,0.0013029163292567513
triangular-prism,5.203472674362953e-06,1.0834028171360457e-05,1.5017390898881422e-05,0.0013166259470932167
octagonal-prism,5.250386612596774e-06,1.1217673654347365e-05,3.192344406369429e-05,0.0014130457322278666
elongated-triangular-bipyramid,5.342057325018854e-06,8.52251558714327e-06,3.7113215286634875e-05,0.001075973254010373
elongated-pentagonal-pyramid,5.723375749165375e-06,8.843412051949027e-06,4.685629097220525e-05,0.0030092845950803184
triangular-bipyramid,5.871538831018272e-06,1.2765705279635374e-05,2.288484859077131e-05,0.0014936784619325994
tetrahedron,6.071498128407388e-06,1.3688193058855227e-05,9.422475856174411e-06,0.001160510556704025
bilunabirotunda,6.172651353764221e-06,9.392130992181436e-06,2.6404700316270554e-05,0.0019130920863154781
elongated-pentagonal-bipyramid,6.981360849422759e-06,1.0107312302602534e-05,0.0001001817602287981,0.00485789635709557
elongated-triangular-pyramid,7.288507872171924e-06,1.8260950947903018e-05,2.0170943420627862e-05,0.001380390838150914
augmented-hexagonal-prism,7.660795890672065e-06,1.5499217759572542e-05,1.8384557422099868e-05,0.0019536242744868262
augmented-triangular-prism,7.738945426214053e-06,1.4752921021703359e-05,1.650450655205242e-05,0.001989807278386564
augmented-pentagonal-prism,8.358199216489363e-06,1.0321117400473198e-05,1.8292512009067577e-05,0.0017736879892103622
hexagonal-antiprism,8.660725326751614e-06,1.3575808026772507e-05,4.252394454017894e-05,0.002288502085627259
pentagonal-orthobicupola,9.643839113885344e-06,1.172095247294634e-05,3.675836904122263e-05,0.0016277885224795878
parabiaugmented-hexagonal-prism,9.895164201121583e-06,1.103796069553546e-05,1.4283048758783801e-05,0.0015640127418546943
elongated-pentagonal-cupola,1.0433100642861476e-05,1.511049346228736e-05,4.298318671227125e-05,0.002361323827814486
gyroelongated-pentagonal-cupola,1.0448758961715885e-05,1.3489439338316736e-05,3.5577713943737295e-05,0.0025526180319831024
tridiminished-icosahedron,1.0882853895184424e-05,1.974718163418594e-05,4.105756801149936e-05,0.002891462212681105
pentagonal-antiprism,1.0990576972101596e-05,1.4963487562330514e-05,8.068627399490182e-05,0.0027869884401754245
augmented-tridiminished-icosahedron,1.1372129655941672e-05,1.550417582011182e-05,3.31939363758919e-05,0.002274974345550254
pentagonal-gyrobicupola,1.174665437410445e-05,1.235647437432382e-05,6.596692359631931e-05,0.002456807579443272
pentagonal-rotunda,1.1943590908142024e-05,1.4168186236554324e-05,6.291799800124898e-05,0.0023660839806872347
gyroelongated-square-cupola,1.2108968691271296e-05,1.4773973517506467e-05,8.504299950329234e-05,0.003291300761025311
elongated-square-pyramid,1.2501762271202368e-05,1.2416070910208446e-05,3.83153294536001e-05,0.001707479630696803
snub-disphenoid,1.2991223858701334e-05,1.9976475186773014e-05,5.160360806373396e-05,0.0030574771434303603
dodecahedron,1.3028998087343831e-05,2.1534967574933567e-05,5.913304056603028e-05,0.00460610121955701
elongated-triangular-cupola,1.3742215123333347e-05,1.8345945706021375e-05,5.712638083978588e-05,0.0036629411286829717
metabiaugmented-hexagonal-prism,1.3959032488082296e-05,2.031148516632363e-05,3.2078450101948e-05,0.0021893105262786538
truncated-tetrahedron,1.4205470620899675e-05,2.4755980016797853e-05,3.302076298150555e-05,0.002541796095408529
sphenomegacorona,1.4308173230637118e-05,1.6224686285644063e-05,8.58761261363734e-05,0.003434612615272594
square-pyramid,1.4355327275256238e-05,2.1520674685492547e-05,3.9397050921739125e-05,0.002386124721254222
elongated-pentagonal-rotunda,1.4568410572130759e-05,1.615960639320232e-05,7.625871124322603e-05,0.002925948159881918
biaugmented-triangular-prism,1.4800760821047787e-05,1.955616865186561e-05,2.7163282741301692e-05,0.002749390819551447
parabidiminished-rhombicosidodecahedron,1.4972368284255463e-05,1.9395211754170987e-05,6.172628623286038e-05,0.003630798804390619
biaugmented-pentagonal-prism,1.5355954623680853e-05,1.4555549373972111e-05,2.3820060085249834e-05,0.0017474264477319596
elongated-pentagonal-orthobicupola,1.547587977799255e-05,1.8373368779346712e-05,6.0433785545065854e-05,0.0037064035928049146
square-orthobicupola,1.5964999776773727e-05,1.6320877125634707e-05,7.098097504499119e-05,0.003054007563572825
pentagonal-cupola,1.655891460163998e-05,1.1622556880101043e-05,1.1377871684875402e-05,0.0008671036253029841
octahedron,1.668830868178953e-05,2.00852009758836e-05,5.6090174106946396e-05,0.0033507745525166574
pentagonal-orthocupolarotunda,1.673831127633878e-05,1.781295604715935e-05,7.621600031411269e-05,0.0031760273931513818
triangular-cupola,1.6848576565556165e-05,1.939332406044167e-05,5.9048769365927006e-05,0.0025456049573229127
paragyrate-diminished-rhombicosidodecahedron,1.7047914195677182e-05,1.829021976101986e-05,6.414107272157466e-05,0.003276688971422917
triangular-orthobicupola,1.7222071794806606e-05,2.0497218346596033e-05,9.493864712677718e-05,0.005050932831581436
triangular-hebesphenorotunda,1.7291614282649887e-05,1.958395911227033e-05,8.443883613075944e-05,0.0033016363783374266
elongated-square-cupola,1.7470936538087957e-05,1.780811804465124e-05,8.186347458489384e-05,0.0032652457883744113
diminished-rhombicosidodecahedron,1.748651260730066e-05,1.9868401185052678e-05,6.288438837968569e-05,0.003120646129212351
truncated-octahedron,1.764841055048838e-05,2.6017073206387938e-05,9.618695350746702e-05,0.004653384056771036
gyroelongated-triangular-cupola,1.770468184099515e-05,2.142668164680883e-05,9.839439508437634e-05,0.004220958471277455
square-antiprism,1.804029921507939e-05,3.4249252327232564e-05,8.847954054021067e-05,0.003968623206875092
pentagonal-bipyramid,1.8255786733759306e-05,2.3105294973386564e-05,7.013824893307364e-05,0.002763348728384403
metagyrate-diminished-rhombicosidodecahedron,1.8562992940324302e-05,1.9262535577529344e-05,8.290751128502968e-05,0.0039785087763102136
elongated-pentagonal-gyrocupolarotunda,1.8908683077160237e-05,1.852654648536517e-05,9.214045423056952e-05,0.0038062223180403295
sphenocorona,1.9125765412109267e-05,2.424511111474313e-05,5.692163328162695e-05,0.0032604355175809624
gyrate-bidiminished-rhombicosidodecahedron,1.9624742240293456e-05,2.0694348564011854e-05,7.391475712545671e-05,0.0036780935777740785
square-gyrobicupola,1.9840236065936364e-05,2.429174644914423e-05,6.258418501431918e-05,0.0029449341280440742
gyroelongated-pentagonal-cupolarotunda,1.987022478601508e-05,2.050692740192217e-05,8.319231917560603e-05,0.0039307571972830605
gyroelongated-triangular-bicupola,1.9917805587549247e-05,2.0681641281918763e-05,0.00012273078861468865,0.004610037206314227
gyroelongated-pentagonal-bicupola,2.0525745322820586e-05,2.3892269951044158e-05,6.530291051540646e-05,0.0037338538806831493
gyroelongated-pentagonal-pyramid,2.1050052235215746e-05,1.6990022111688967e-05,0.00013706344128969257,0.003926671432501397
biaugmented-truncated-cube,2.1216644298453868e-05,1.7926712354628346e-05,0.0001376267340225742,0.004013482333094945
parabiaugmented-dodecahedron,2.189116251252628e-05,2.1951955084549832e-05,0.00011217684759066599,0.004981054900481397
bigyrate-diminished-rhombicosidodecahedron,2.1960220847809167e-05,2.064150392175106e-05,8.468672456804582e-05,0.0034021082738718345
elongated-pentagonal-orthocupolarotunda,2.2250060986047374e-05,1.886959672644223e-05,9.626025385390433e-05,0.0037262379994916304
triaugmented-triangular-prism,2.2358019286426814e-05,2.5100593219362088e-05,4.512690977007666e-05,0.0034703890719276686
disphenocingulum,2.243558995212069e-05,2.4776835022043926e-05,0.00013324636338592848,0.004547234231791012
augmented-truncated-tetrahedron,2.2732288405896037e-05,3.278514316884948e-05,7.021371306006817e-05,0.0033242171685290475
snub-cube,2.2923073923911877e-05,1.8275448310879953e-05,9.660083506656833e-05,0.004147141744434876
gyroelongated-square-pyramid,2.3478909541107416e-05,2.4483647820779777e-05,0.00013194920859076794,0.005138176687634259
augmented-truncated-cube,2.3587201088109166e-05,1.654508979616836e-05,0.00021108994473245906,0.004581287163413637
metabiaugmented-truncated-dodecahedron,2.3615518010718657e-05,2.218893380274643e-05,0.0001855683407860085,0.005258152587539554
snub-square-antiprism,2.3679999816162256e-05,1.9969541774686838e-05,8.762860093241323e-05,0.003723313792005431
gyroelongated-pentagonal-rotunda,2.374570707284831e-05,2.468416258866292e-05,8.334689506076487e-05,0.0031225270879979127
hebesphenomegacorona,2.4065036155555896e-05,2.0664701967934142e-05,0.0001386441926780937,0.00512021956604637
gyrate-rhombicosidodecahedron,2.40762074853233e-05,2.0144986562779813e-05,7.344487629337326e-05,0.0029263715230351426
parabigyrate-rhombicosidodecahedron,2.443631421121943e-05,2.0167818470375986e-05,7.609961329376208e-05,0.0031080906788430594
elongated-triangular-orthobicupola,2.4701868020313914e-05,2.9810093055402157e-05,9.336646551382362e-05,0.003927310980864654
rhombicuboctahedron,2.5079017903068783e-05,2.2122157293327065e-05,0.00017281018034061448,0.004691365956053447
augmented-truncated-dodecahedron,2.5181406640312668e-05,2.4808426010701823e-05,0.00016260772571197025,0.004881594631671874
elongated-pentagonal-gyrobirotunda,2.5318876415522234e-05,1.7974892999597392e-05,0.000159011851376234,0.004222204326504806
trigyrate-rhombicosidodecahedron,2.6447615296476468e-05,2.030708097471735e-05,7.201448709820212e-05,0.00287847477801504
triaugmented-hexagonal-prism,2.7033207026681904e-05,2.6473417250170022e-05,3.666831460171424e-05,0.0026076003297586833
snub-dodecahedron,2.747484799017981e-05,2.2357773130259377e-05,5.060475105348276e-05,0.0026071516595520595
metabiaugmented-dodecahedron,2.75300738668311e-05,3.6415209507562004e-05,0.00010690314318970997,0.004899545587559696
gyroelongated-square-bipyramid,2.758440151400194e-05,1.8920928990810136e-05,7.768070106168013e-05,0.0033402455703191937
metabidiminished-icosahedron,2.794799721079187e-05,4.0215142107835455e-05,0.0001092834684045493,0.0035417803827160893
parabiaugmented-truncated-dodecahedron,2.7983656220104528e-05,2.5756520055468533e-05,0.00015162982291186443,0.004923715595502334
gyroelongated-square-bicupola,2.8058175204487706e-05,1.9858640854084313e-05,0.00017589082234216122,0.004254765673317468
pentagonal-pyramid,2.8260981597448886e-05,1.547690146790416e-05,2.7736424047036722e-05,0.0017765602987067821
truncated-icosahedron,2.855927404504921e-05,2.078813926895488e-05,0.00013702341188605633,0.0037970639832734143
truncated-dodecahedron,2.879899193266971e-05,2.8214945512009607e-05,0.00017356454486558903,0.005226433783510973
tridiminished-rhombicosidodecahedron,2.8926989904232177e-05,3.9034037575501446e-05,9.59998288464095e-05,0.00400425430230348
elongated-pentagonal-orthobirotunda,3.072824074586893e-05,2.6969818654633987e-05,0.00017820870583199836,0.004299714292804489
metabigyrate-rhombicosidodecahedron,3.138267355839825e-05,2.2275512064298037e-05,6.970919250782214e-05,0.002974475402838203
icosidodecahedron,3.400855233443433e-05,2.293242256157522e-05,0.00013430240866273577,0.004634639491245758
triaugmented-dodecahedron,3.524906894178281e-05,4.030986735771008e-05,0.00014120092807044194,0.005325961846085333
pentagonal-orthobirotunda,3.596939233438247e-05,2.1809760446846214e-05,0.00016591419224589054,0.004921659745345656
cuboctahedron,3.7636357899198935e-05,4.2414495152222044e-05,0.00016675503516128628,0.005404729035145281
square-cupola,3.969027400261262e-05,1.9471488218117942e-05,5.858503541452725e-05,0.0022265816626701293
triaugmented-truncated-dodecahedron,4.478880397757229e-05,2.941470158444284e-05,0.0001736043947337173,0.00479416093474316
